Name,Year,Cost,Design Costs,Design Req.,Manu. Req.,Finish,Skill,Power,Fuel,Reliability,Weight,Number of Cylinders,Smoothness
Steam,1890,0.2,0.2,0.2,0.2,1,0,0.1,0.3,1,1.8,2,1.2
Electric,1890,2,2,3,1.5,3,0,1,0.75,1.5,20,4,1.5
Wankle,1890,0.8,0.5,0.75,0.75,1.2,0,0.6,0.7,0.8,0.3,4,1
Cylinder,1890,0.1,0.1,0.1,0.1,0.1,0,0.1,1,1,0.1,1,-1
2,1890,0.15,0.15,0.15,0.15,0.12,0,0.15,1.2,1.03,0.2,2,0
3,1890,0.2,0.2,0.2,0.2,0.15,0,0.25,1.1,1.04,0.3,3,0.22
4,1890,0.25,0.25,0.25,0.25,0.18,0,0.4,1,1.05,0.4,4,0.5
5,1890,0.3,0.3,0.3,0.3,0.22,10,0.55,0.95,1.03,0.5,5,0.7
6,1890,0.35,0.35,0.35,0.35,0.27,10,0.75,0.85,1,0.6,6,0.85
7,1890,0.4,0.4,0.4,0.4,0.33,20,0.85,0.8,1,0.7,7,0.9
8,1890,0.45,0.45,0.45,0.5,0.4,20,1,0.75,1,0.8,8,1
9,1890,0.5,0.5,0.5,0.5,0.48,30,1.25,0.7,0.8,0.9,9,0.8
10,1900,0.6,0.6,0.6,1.4,0.57,35,1.5,0.7,0.65,1,10,1.2
12,1902,0.7,0.7,0.7,1.2,0.67,40,1.6,0.6,0.5,1.2,12,1.8
15,1904,0.8,0.8,0.8,0.8,0.78,50,1.75,0.5,0.45,1.5,15,0.8
16,1906,0.9,0.9,0.9,1.9,0.9,55,1.8,0.4,0.4,1.6,16,1
18,1920,1,1,1,1,1,70,2,0.3,0.3,1.8,18,0.8
