Name,Year,Cost,Design Costs,Design Req.,Manu. Req.,Skill,Finish,Power,Fuel,Reliability,Weight,RPM,Smoothness
Autogas,1960,1.2,1.4,1.4,1.4,40,1,0.55,0.4,0.9,1,1.1,0.8
Diesel,1912,1.1,1.1,0.8,0.55,25,1,5,2.5,2,1.2,0.5,0.7
E85,1900,1.25,1.5,1.5,1.25,1,1.1,0.7,0.25,0.8,1.1,1.2,0.9
Electric I,1890,1,1,5,2.5,0,2.5,0.1,0.01,0.01,30,0.25,1.5
Electric II,1930,1.5,1.2,3,2.5,20,3,0.2,0.02,0.02,25,0.35,1.5
Electric III,1970,3,1.5,3,2.5,30,3,0.3,0.4,0.1,20,0.4,1.5
Electric IV,1990,4.5,2,3,2,40,3,0.6,20,0.3,25,0.5,1.5
Electric V,2005,12,4,2.5,2,60,3,2.5,80,2.5,25,1.5,1.5
Gasoline,1890,1,0.8,0.8,0.75,0,1,0.6,1,1.2,1,1.2,1
Hybrid,1985,4,5,3,2,60,1.2,0.55,3.4,1,5,1,1.3
Hydrogen,1980,5,5,5,3,70,1.1,0.25,1.5,0.6,1,1,0.75
Natural Gas,1960,2.6,2.6,2.6,1.5,50,2,0.3,3.5,0.7,1,0.8,1
Water,1890,1,1,1,1,0,1,2,0.01,0.5,8,0.4,1
