Name,Year,Cost,Design Costs,Design Req.,Manu. Req.,Skill,Finish,Power,Fuel,Reliability,Weight
Hybrid Turbocharger,1985,5,3,2,1.4,50,1.1,2.5,1.05,0.65,1.2
Naturally Aspirated,1890,0,1,1,1,0,1,1,1,1,1
No Induction,1890,0,1,1,1,0,1,1,1,1,1
Quad-Turbocharger,1972,6,2.5,2.1,3.1,70,1.7,2.4,1.2,0.75,1.1
Supercharger,1902,0.4,1.05,1.05,1.05,20,1,1.3,1.02,1,1.05
Turbocharger Stage I (Fuel Focused),1932,0.5,1.07,1.05,1.05,20,1.05,1.1,1.25,0.9,1.05
Turbocharger Stage I (Power Focused),1932,0.5,1.07,1.05,1.05,20,1.05,1.3,1.1,0.9,1.05
Turbocharger Stage II (Fuel Focused),1952,0.65,1.1,1.1,1.1,27,1.05,1.2,1.45,0.9,1.05
Turbocharger Stage II (Power Focused),1952,0.65,1.1,1.1,1.1,27,1.05,1.6,1.2,0.9,1.05
Turbocharger Stage III (Fuel Focused),1972,0.8,1.15,1.15,1.15,32,1.05,1.3,1.7,0.87,1.05
Turbocharger Stage III (Power Focused),1972,0.8,1.15,1.15,1.15,32,1.05,1.9,1.3,0.87,1.05
Turbocharger Stage IV (Fuel Focused),1992,0.85,1.2,1.2,1.2,40,1.05,1.4,1.85,0.85,1.05
Turbocharger Stage IV (Power Focused),1992,1,1.2,1.2,1.2,40,1.05,2.2,1.45,0.85,1.05
Twin-Turbocharger,1962,2.5,1.75,1.5,2.15,45,1.3,2.1,1.25,0.75,1.1
Twincharger,1975,1.1,1.35,1.3,1.32,20,1.15,1.8,1.25,0.9,1.1
Variable Geometry Turbocharger,1932,1.45,1.35,1.3,1.2,25,1.1,1.4,1.05,1,1.3
