Name,Year,Design Costs,Costs,Design Requirements,Manufacturing Requirements,Reliability,Power,Fuel,Smooth,Finish,Weight,Width,Length,Skill,Cylinders,Fuel Types,Inductions,Valve,Cylinder Arrangement,Turbine (Circular)
Electric,1892,2.5,3,3,1.5,1.5,0.4,0.6,2,3,20,0.85,1.05,10,"[""Electric""]","[ ""Electric I"", ""Electric II"", ""Electric III"", ""Electric IV"", ""Electric V"" ]",[],1,0,0
Flat,1893,0.55,0.43,0.35,0.25,0.95,0.7,0.45,1.3,0.5,0.55,1.25,1,15,"[""2"",""4"",""6"", ""8"",""10"",""12""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,0,0
H,1895,2.5,2.5,0.65,0.65,0.3,0.15,0.1,1,1,1.6,1.5,1.1,30,"[""4"", ""8"", ""12"", ""16""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,4,0
I,1891,0.3,0.25,0.2,0.15,1.2,0.65,0.7,1,0.3,0.6,0.85,1.2,10,"[""2"",""3"",""4"", ""5"",""6"",""8""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,1,0
Radial,1898,0.7,0.5,0.45,0.45,1.1,0.8,0.3,1,1.1,0.5,1.2,0.3,10,"[""3"",""5"",""7"", ""9"",""15""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",3,-1,0
Rotary,1895,0.7,0.4,0.4,0.4,1.2,0.8,0.2,1.1,1,0.5,1.2,0.3,10,"[""3"",""5"",""7"", ""9"",""15""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",3,-1,0
Single,1890,0.25,0.1,0.15,0.15,1,0.25,0.8,-1,0.15,0.1,0.65,0.65,0,"[""Cylinder""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,0,0
Steam,1870,0.22,0.1,0.1,0.15,0.6,0.8,0.05,2,1,2.5,1.5,1.5,10,"[""Steam""]","[""Water""]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",1,0,0
U,1894,0.75,0.65,0.4,0.4,0.4,0.6,0.35,0.75,0.6,1.25,1.8,1.2,50,"[""4"",""6"", ""8"",""10"",""12""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,0,0
V,1892,0.4,0.35,0.3,0.35,1,0.75,0.5,0.7,0.4,0.6,0.9,0.85,15,"[""2"",""4"",""6"", ""8"",""10"",""12"",""16""]","[ ""Two Stroke"", ""Gasoline"", ""Diesel"", ""Natural Gas"", ""Hybrid"", ""Hydrogen"", ""Autogas"", ""E85"" ]","[ ""Naturally Aspirated"", ""Supercharger"", ""Turbocharger Stage I (Fuel Focused)"", ""Turbocharger Stage I (Power Focused)"", ""Turbocharger Stage II (Fuel Focused)"", ""Turbocharger Stage II (Power Focused)"", ""Turbocharger Stage III (Fuel Focused)"", ""Turbocharger Stage III (Power Focused)"", ""Turbocharger Stage IV (Fuel Focused)"", ""Turbocharger Stage IV (Power Focused)"", ""Twincharger"", ""Hybrid Turbocharger"", ""Variable Geometry Turbocharger"", ""Twin-Turbocharger"", ""Quad-Turbocharger"" ]",2,0,0
