Name,Year,Valve Type,Costs,Design Costs,Design Req.,Manu. Req.,Skill,Finish,Fuel,Reliability,Weight,RPM,Smoothness,Size,Power
No Valve,1890,1,0.1,1,1,1,0,1,1,1,0.3,1,1.4,1,1
DOHC,1905,2,1.2,1.2,1.3,1.7,50,1.2,1.1,1.2,0.9,1.08,1.2,1.2,1
F Head,1890,2,0.6,0.7,0.9,0.9,20,1,0.75,1,0.75,0.85,0.85,0.7,1
L Head,1890,2,0.4,0.5,0.6,0.5,0,0.7,0.5,0.6,0.7,0.6,0.7,1.05,1
OHV,1900,2,0.6,0.6,0.9,0.9,30,1,0.85,1.1,0.7,0.95,0.85,0.8,1
Poppet Valve,1890,3,0.7,0.6,0.7,0.75,0,1,0.4,1,1,0.45,1,1,1
SOHC,1890,2,1,1.1,1.2,1.5,35,1.1,1,1.1,0.7,1.05,1.1,1.1,1
Sleeve Valve,1890,3,1,0.8,0.9,1,25,1.2,0.55,0.75,0.8,0.55,1.3,0.9,1
T Head,1890,2,0.5,0.6,0.7,0.8,15,0.8,0.5,0.8,0.7,0.67,0.85,1.07,1
Two Stroke,1890,2,0.3,0.3,0.3,0.3,0,0.6,0.35,-1,-1,1,-1,0,0.5
