Name,Year,Min_Bore,Max_Bore,Min_Stroke,Max_Stroke
V,1900,47.1,203.29,47.09,203.25
I,1900,55.17,238.14,55.16,238.09
U,1900,80.73,348.49,80.72,348.42
Flat,1900,60.55,261.37,60.54,261.32
Single,1900,34.98,151.01,34.98,150.98
Radial,1900,40.37,174.25,40.36,174.21
W,1900,37.94,163.79,56.85,245.39
H,1900,34.98,151.01,69.96,301.97
V,1905,46.33,199.97,46.27,199.74
I,1905,54.27,234.26,54.21,233.98
U,1905,79.42,342.81,79.33,342.41
Flat,1905,59.56,257.11,59.49,256.81
Single,1905,34.41,148.55,34.37,148.38
Radial,1905,39.71,171.41,39.66,171.2
W,1905,37.94,163.79,56.85,245.39
X,1905,28.46,122.84,56.85,245.39
H,1905,34.41,148.55,68.75,296.75
V,1910,45.57,196.71,45.47,196.29
I,1910,53.39,230.44,53.27,229.94
U,1910,78.12,337.23,77.96,336.49
Flat,1910,58.59,252.92,58.47,252.37
Single,1910,33.85,146.13,33.78,145.81
Radial,1910,39.06,168.61,38.98,168.25
W,1910,37.33,161.12,55.87,241.15
X,1910,27.99,120.84,55.87,241.15
H,1910,33.85,146.13,67.56,291.63
V,1915,44.83,193.51,44.69,192.9
I,1915,52.52,226.68,52.35,225.97
U,1915,76.85,331.73,76.61,330.68
Flat,1915,57.64,248.8,57.46,248.01
Single,1915,33.3,143.75,33.2,143.3
Radial,1915,38.43,165.87,38.3,165.34
W,1915,36.72,158.49,54.9,236.99
X,1915,27.54,118.87,54.9,236.99
H,1915,33.3,143.75,66.39,286.59
V,1920,44.1,190.36,43.92,189.57
I,1920,51.66,222.99,51.45,222.06
U,1920,75.6,326.32,75.29,324.97
Flat,1920,56.7,244.74,56.46,243.73
Single,1920,32.76,141.41,32.62,140.82
Radial,1920,37.8,163.16,37.64,162.49
W,1920,36.12,155.91,53.95,232.9
X,1920,27.09,116.93,53.95,232.9
H,1920,32.76,141.41,65.25,281.64
V,1925,43.38,187.25,43.16,186.29
I,1925,50.82,219.35,50.56,218.23
U,1925,74.37,321,73.98,319.36
Flat,1925,55.77,240.75,55.49,239.52
Single,1925,32.23,139.1,32.06,138.39
Radial,1925,37.18,160.5,36.99,159.68
W,1925,35.53,153.37,53.02,228.87
X,1925,26.65,115.03,53.02,228.87
H,1925,32.23,139.1,64.12,276.77
V,1930,42.67,184.2,42.41,183.07
I,1930,49.99,215.78,49.68,214.46
U,1930,73.15,315.77,72.71,313.84
Flat,1930,54.87,236.83,54.53,235.38
Single,1930,31.7,136.83,31.51,136
Radial,1930,36.58,157.88,36.35,156.92
W,1930,34.95,150.87,52.11,224.92
X,1930,26.21,113.15,52.11,224.92
H,1930,31.7,136.83,63.01,271.99
V,1935,41.98,181.19,41.68,179.91
I,1935,49.17,212.26,48.82,210.75
U,1935,71.96,310.62,71.45,308.41
Flat,1935,53.97,232.96,53.59,231.31
Single,1935,31.18,134.6,30.96,133.65
Radial,1935,35.98,155.31,35.73,154.21
W,1935,34.38,148.41,51.21,221.03
X,1935,25.79,111.31,51.21,221.03
H,1935,31.18,134.6,61.92,267.29
V,1940,41.29,178.24,40.96,176.8
I,1940,48.37,208.79,47.98,207.11
U,1940,70.79,305.55,70.22,303.08
Flat,1940,53.09,229.17,52.66,227.31
Single,1940,30.67,132.41,30.43,131.34
Radial,1940,35.39,152.78,35.11,151.54
W,1940,33.82,145.99,50.32,217.21
X,1940,25.37,109.49,50.32,217.21
H,1940,30.67,132.41,60.85,262.67
V,1945,40.62,175.33,40.25,173.74
I,1945,47.58,205.39,47.15,203.53
U,1945,69.63,300.57,69,297.85
Flat,1945,52.22,225.43,51.75,223.38
Single,1945,30.17,130.25,29.9,129.07
Radial,1945,34.82,150.28,34.5,148.92
W,1945,33.27,143.61,49.45,213.46
X,1945,24.95,107.7,49.45,213.46
H,1945,30.17,130.25,59.8,258.13
Wankel,1945,29.68,128.12,29.68,128.12
V,1950,39.96,172.47,39.56,170.74
I,1950,46.81,202.04,46.34,200.01
U,1950,68.5,295.67,67.81,292.7
Flat,1950,51.37,221.75,50.86,219.52
Single,1950,29.68,128.12,29.38,126.84
Radial,1950,34.25,147.83,33.9,146.35
W,1950,32.73,141.26,48.6,209.77
X,1950,24.54,105.95,48.6,209.77
H,1950,29.68,128.12,58.77,253.67
Wankel,1950,29.68,128.12,29.68,128.12
V,1955,39.3,169.66,38.87,167.79
I,1955,46.04,198.74,45.54,196.55
U,1955,67.38,290.84,66.64,287.64
Flat,1955,50.53,218.13,49.98,215.73
Single,1955,29.2,126.03,28.88,124.64
Radial,1955,33.69,145.42,33.32,143.82
W,1955,32.19,138.96,47.76,206.14
X,1955,24.14,104.22,47.76,206.14
H,1955,29.2,126.03,57.75,249.29
Wankel,1955,29.2,126.03,29.2,126.03
V,1960,38.66,166.89,38.2,164.89
I,1960,45.29,195.5,44.75,193.16
U,1960,66.28,286.09,65.49,282.67
Flat,1960,49.71,214.57,49.11,212
Single,1960,28.72,123.97,28.38,122.49
Radial,1960,33.14,143.05,32.74,141.33
W,1960,31.67,136.69,46.93,202.58
X,1960,23.75,102.52,46.93,202.58
H,1960,28.72,123.97,56.75,244.98
Wankel,1960,28.72,123.97,28.72,123.97
V,1965,38.03,164.17,37.54,162.04
I,1965,44.55,192.31,43.97,189.82
U,1965,65.2,281.43,64.35,277.78
Flat,1965,48.9,211.07,48.27,208.34
Single,1965,28.25,121.95,27.89,120.37
Radial,1965,32.6,140.71,32.18,138.89
W,1965,31.15,134.46,46.12,199.08
X,1965,23.36,100.85,46.12,199.08
H,1965,28.25,121.95,55.77,240.74
Wankel,1965,28.25,121.95,28.25,121.95
V,1970,37.41,161.49,36.89,159.24
I,1970,43.83,189.17,43.21,186.54
U,1970,64.13,276.84,63.24,272.98
Flat,1970,48.1,207.63,47.43,204.73
Single,1970,27.79,119.96,27.4,118.29
Radial,1970,32.07,138.42,31.62,136.49
W,1970,30.64,132.27,45.32,195.64
X,1970,22.98,99.2,45.32,195.64
H,1970,27.79,119.96,54.81,236.58
Wankel,1970,27.79,119.96,27.79,119.96
V,1975,36.8,158.85,36.25,156.49
I,1975,43.11,186.09,42.47,183.31
U,1975,63.09,272.32,62.15,268.26
Flat,1975,47.32,204.24,46.61,201.2
Single,1975,27.34,118.01,26.93,116.25
Radial,1975,31.54,136.16,31.07,134.13
W,1975,30.14,130.11,44.54,192.25
X,1975,22.61,97.58,44.54,192.25
H,1975,27.34,118.01,53.86,232.49
Wankel,1975,27.34,118.01,27.34,118.01
V,1980,36.2,156.26,35.63,153.78
I,1980,42.41,183.05,41.73,180.14
U,1980,62.06,267.88,61.07,263.63
Flat,1980,46.54,200.91,45.81,197.72
Single,1980,26.89,116.08,26.47,114.24
Radial,1980,31.03,133.94,30.54,131.81
W,1980,29.65,127.99,43.77,188.93
X,1980,22.24,95.99,43.77,188.93
H,1980,26.89,116.08,52.93,228.48
Wankel,1980,26.89,116.08,26.89,116.08
V,1985,35.61,153.71,35.01,151.12
I,1985,41.72,180.07,41.01,177.03
U,1985,61.05,263.51,60.02,259.07
Flat,1985,45.79,197.63,45.01,194.3
Single,1985,26.45,114.19,26.01,112.26
Radial,1985,30.52,131.76,30.01,129.54
W,1985,29.17,125.9,43.01,185.67
X,1985,21.88,94.42,43.01,185.67
H,1985,26.45,114.19,52.02,224.53
Wankel,1985,26.45,114.19,26.45,114.19
V,1990,35.03,151.21,34.41,148.51
I,1990,41.04,177.13,40.3,173.97
U,1990,60.05,259.21,58.98,254.59
Flat,1990,45.04,194.41,44.24,190.94
Single,1990,26.02,112.33,25.56,110.32
Radial,1990,30.03,129.61,29.49,127.3
W,1990,28.69,123.85,42.27,182.46
X,1990,21.52,92.89,42.27,182.46
H,1990,26.02,112.33,51.12,220.65
Wankel,1990,26.02,112.33,26.02,112.33
V,1995,34.46,148.74,33.81,145.95
I,1995,40.37,174.24,39.61,170.97
U,1995,59.07,254.99,57.96,250.19
Flat,1995,44.3,191.24,43.47,187.65
Single,1995,25.6,110.49,25.12,108.42
Radial,1995,29.54,127.49,28.98,125.1
W,1995,28.22,121.83,41.54,179.31
X,1995,21.17,91.37,41.54,179.31
H,1995,25.6,110.49,50.23,216.83
Wankel,1995,25.6,110.49,25.6,110.49
VV,1995,26.58,114.74,52.17,225.17
V,2000,33.9,146.32,33.23,143.43
I,2000,39.71,171.4,38.92,168.01
U,2000,58.11,250.83,56.96,245.87
Flat,2000,43.58,188.12,42.72,184.4
Single,2000,25.18,108.69,24.68,106.54
Radial,2000,29.05,125.41,28.48,122.94
W,2000,27.76,119.84,40.82,176.21
X,2000,20.82,89.88,40.82,176.21
H,2000,25.18,108.69,49.37,213.09
Wankel,2000,25.18,108.69,25.18,108.69
VV,2000,26.15,112.87,51.26,221.28
V,2005,33.34,143.93,32.65,140.95
I,2005,39.06,168.6,38.25,165.11
U,2005,57.16,246.74,55.98,241.62
Flat,2005,42.87,185.05,41.98,181.22
Single,2005,24.77,106.92,24.26,104.7
Radial,2005,28.58,123.37,27.99,120.81
W,2005,27.31,117.89,40.12,173.16
X,2005,20.48,88.41,40.12,173.16
H,2005,24.77,106.92,48.51,209.4
Wankel,2005,24.77,106.92,24.77,106.92
VV,2005,25.72,111.03,50.38,217.46
V,2010,32.8,141.58,32.09,138.51
I,2010,38.42,165.85,37.59,162.25
U,2010,56.23,242.71,55.01,237.45
Flat,2010,42.17,182.03,41.26,178.08
Single,2010,24.37,105.18,23.84,102.89
Radial,2010,28.11,121.36,27.5,118.72
W,2010,26.86,115.96,39.42,170.17
X,2010,20.15,86.97,39.42,170.17
H,2010,24.37,105.18,47.67,205.79
Wankel,2010,24.37,105.18,24.37,105.18
VV,2010,25.3,109.22,49.51,213.7
V,2015,32.27,139.27,31.53,136.12
I,2015,37.8,163.15,36.94,159.45
U,2015,55.31,238.76,54.06,233.34
Flat,2015,41.48,179.07,40.54,175.01
Single,2015,23.97,103.46,23.43,101.12
Radial,2015,27.66,119.38,27.03,116.67
W,2015,26.43,114.07,38.74,167.23
X,2015,19.82,85.55,38.74,167.23
H,2015,23.97,103.46,46.85,202.23
Wankel,2015,23.97,103.46,23.97,103.46
VV,2015,24.89,107.44,48.65,210.01
V,2020,31.74,137,30.99,133.77
I,2020,37.18,160.49,36.3,156.7
U,2020,54.41,234.86,53.12,229.31
Flat,2020,40.81,176.15,39.84,171.98
Single,2020,23.58,101.77,23.02,99.37
Radial,2020,27.21,117.43,26.56,114.66
W,2020,26,112.21,38.07,164.34
X,2020,19.5,84.16,38.07,164.34
H,2020,23.58,101.77,46.04,198.74
Wankel,2020,23.58,101.77,23.58,101.77
VV,2020,24.48,105.69,47.81,206.38
