
year,interest_rate,carprice_rate
1900,1.02,1.4
1901,1.02626,1.4129
1902,1.03108,1.42581
1903,1.02008,1.43871
1904,1.01077,1.45161
1905,1.02,1.46452
1906,1.02923,1.47742
1907,1.03846,1.49032
1908,1.01129,1.38492
1909,1.01479,1.32459
1910,1.01783,1.26426
1911,1.01633,1.20393
1912,1.01997,1.14361
1913,1.01964,1.08328
1914,1.01581,1.02295
1915,1.01063,0.962623
1916,1.01823,0.902295
1917,1.02583,0.841967
1918,1.03343,0.781639
1919,1.04103,0.721311
1920,1.04717,0.660984
1921,1.03717,0.600656
1922,1.02833,0.540328
1923,1.031,0.48
1924,1.0204,0.464706
1925,1.02516,0.4
1926,1.02992,0.40625
1927,1.03468,0.4125
1928,1.03944,0.41875
1929,1.04421,0.425
1930,1.0181,0.43125
1931,1.01238,0.4375
1932,1.01041,0.44375
1933,1.0111,0.45
1934,1.0118,0.45
1935,1.01249,0.45
1936,1.01319,0.45
1937,1.01388,0.45
1938,1.01458,0.45
1939,1.01528,0.45
1940,1.01597,0.45
1941,1.01667,0.451351
1942,1.01736,0.452703
1943,1.01806,0.454054
1944,1.01875,0.455405
1945,1.01945,0.456757
1946,1.02014,0.458108
1947,1.02084,0.459459
1948,1.02154,0.460811
1949,1.02223,0.462162
1950,1.02293,0.463514
1951,1.02362,0.464865
1952,1.02432,0.466216
1953,1.02501,0.467568
1954,1.02571,0.468919
1955,1.02641,0.47027
1956,1.0271,0.471622
1957,1.0278,0.472973
1958,1.02849,0.474324
1959,1.02919,0.475676
1960,1.02988,0.477027
1961,1.03559,0.478378
1962,1.0423,0.47973
1963,1.04901,0.481081
1964,1.05572,0.482432
1965,1.06243,0.483784
1966,1.06914,0.485135
1967,1.07585,0.486486
1968,1.08117,0.487838
1969,1.07088,0.489189
1970,1.05737,0.490541
1971,1.04746,0.491892
1972,1.07696,0.493243
1973,1.10252,0.494595
1974,1.0847,0.495946
1975,1.06688,0.497297
1976,1.06173,0.498649
1977,1.08193,0.5
1978,1.10213,0.553846
1979,1.12233,0.607692
1980,1.14253,0.661538
1981,2.19208,0.715385
1982,1.61708,0.769231
1983,1.091,0.823077
1984,1.10124,0.876923
1985,1.0921,0.930769
1986,1.08295,0.984615
1987,1.07381,1.03846
1988,1.07667,1.09231
1989,1.0881,1.14615
1990,1.07689,1.2
1991,1.06116,1.20334
1992,1.04542,1.20669
1993,1.032,1.21003
1994,1.044,1.21337
1995,1.056,1.21671
1996,1.05527,1.22006
1997,1.052,1.2234
1998,1.04954,1.22674
1999,1.05604,1.23008
2000,1.06056,1.23343
2001,1.04322,1.23677
2002,1.02589,1.24011
2003,1.01111,1.24345
2004,1.02444,1.2468
2005,1.03778,1.25014
2006,1.04923,1.25348
2007,1.04,1.25682
2008,1.03077,1.26017
2009,1.02154,1.26351
2010,1.0258,1.26685
2011,1.03275,1.27019
2012,1.03971,1.27354
2013,1.04667,1.27688
2014,1.05362,1.28022
2015,1.05972,1.28357
2016,1.05639,1.28691
2017,1.05306,1.29025
2018,1.04972,1.29359
2019,1.04639,1.29694
